fundCd,fundNm,stockCd,type,area,aum,wk1,mm1,mm3,pension
K55101E75520,"ACE 11월만기자동연장회사채AA-이상액티브",473440,"채권","",94353836860,0.059600638816,0.300013964892,0.764752447282,"개인연금,퇴직연금"
KR5101877748,"ACE 200",105190,"주식","",1720643731215,-1.929588470021,0.554242918511,-13.542950706259,"개인연금,퇴직연금"
K55101CT6711,"ACE 200TR",332500,"주식","",164986993240,-1.930694490585,0.549920971288,-13.490028620592,"개인연금,퇴직연금"
K55101E80470,"ACE 2월만기자동연장회사채AA-이상액티브",475260,"채권","",50602011382,0.070417484401,0.351300962459,0.655356497072,"개인연금,퇴직연금"
K55101DH7878,"ACE 2차전지&친환경차액티브",385600,"주식","",17950405745,-0.607886326337,7.348992837055,-19.241291719305,"개인연금,퇴직연금"
K55101E80488,"ACE 5월만기자동연장회사채AA-이상액티브",475270,"채권","",44716650139,0.043755224504,0.329710324592,0.669634475145,"개인연금,퇴직연금"
K55101E80496,"ACE 8월만기자동연장회사채AA-이상액티브",475280,"채권","",101076287208,0.060241469444,0.257137384433,0.768964199212,"개인연금,퇴직연금"
K55101E67600,"ACE AI반도체TOP3+",469150,"주식","",1099205028536,-2.426604552002,3.858299272416,-22.653958305421,"개인연금,퇴직연금"
K55101EJ7669,"ACE BYD밸류체인액티브",0079X0,"주식","",3571517755,-3.958249018814,-3.455120520972,-16.802905115754,"개인연금,퇴직연금"
K55101DI3603,"ACE ESG액티브",385590,"주식","",53726086207,-2.128296972762,0.960636217273,-9.950887229523,"개인연금,퇴직연금"
K55101B54539,"ACE Fn성장소비주도주",226380,"주식","",4206598006,2.609534542226,8.279188603841,-5.229583790672,"개인연금,퇴직연금"
K55101E79688,"ACE KPOP포커스",475050,"주식","",95604675809,0.715302355672,-7.836278815789,-25.908555929956,"개인연금,퇴직연금"
K55101DN7441,"ACE KRX금현물",411060,"원자재","",4299526457134,4.167637137363,9.706375389363,-5.002153508912,"개인연금,퇴직연금"
K55101EW2317,"ACE K바이오코스닥액티브",0221Z0,"주식","",11914347734,-0.864295612347,10.965598423914,,"개인연금,퇴직연금"
K55101EW2275,"ACE K반도체TOP2+",0210A0,"주식","",303105635785,-3.891234356873,0.953997559843,,"개인연금,퇴직연금"
K55101EW2283,"ACE K방산TOP5+",0216Z0,"주식","",14994786679,-7.160382075099,-2.173042647889,,"개인연금,퇴직연금"
K55101ES8039,"ACE K수출핵심TOP10산업액티브",0172Y0,"주식","",8131639697,-1.916732112722,2.986475706761,-17.307993178315,"개인연금,퇴직연금"
K55101EU0214,"ACE K휴머노이드로봇산업TOP2+",0177X0,"주식","",106969397509,-6.652234495461,16.584511664485,-30.92262155362,"개인연금,퇴직연금"
K55101C31949,"ACE MSCI멕시코(합성)",291130,"주식","",16637520670,1.402635557204,-2.981194934094,-9.098512887765,"개인연금,퇴직연금"
K55101BI4108,"ACE MSCI인도네시아(합성)",256440,"주식","",33107846967,0.349268920428,-3.047901463928,-7.897085876035,"개인연금,퇴직연금"
K55101BJ5096,"ACE MSCI필리핀(합성)",261920,"주식","",1281688071,-1.777298497087,-5.143818942311,-3.475588033042,"개인연금,퇴직연금"
K55101EV7101,"ACE SK하이닉스단일종목레버리지",0194T0,"주식","",53823223262,-0.167529341098,-23.341287836816,,""
